"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Rara.W.Pax7(Paired,Homeobox),longest-Myoblast-Pax7-ChIP-Seq(GSE25064)-Homer_-3|+|+",319.66875,-0.355481870198699,0.323137844206176,-1.10009358721811,0.271291347633217,0.999999953144169
"Rara.W.Nfic_-2|-|-",743.0375,0.204032666673849,0.577819541544256,0.353107937693765,0.724007522296607,0.999999953144169
"Rara.W.Maff:Mafk_-3|+|-",219.53125,0.237194989164661,0.360488045439012,0.657982954402271,0.510549084273248,0.999999953144169
"Rara.W.Lhx2(Homeobox)-HFSC-Lhx2-ChIP-Seq(GSE48068)-Homer_-5|+|+",571.5375,0.228079657519542,0.655092392325879,0.34816410660755,0.72771694217846,0.999999953144169
"Rara.W.Lef1:Tcf7l2_-4|+|+",482.98125,0.113318606409575,0.31498490368703,0.35975884902144,0.719027479207211,0.999999953144169
"Rara.W.Hmbox1_-3|+|+",1072.44375,0.261391175994405,0.287832537609757,0.908136300937592,0.363806213456364,0.999999953144169
"Rara.W.Hes1_-5|-|+",945.90625,0.0686548090134666,0.362379392514478,0.18945561042278,0.849735742746074,0.999999953144169
"Ppard:Nr2c2.W.Zbtb33-halfSite_-3|+|-",1107.55,0.105612405045592,0.207777072800381,0.508296722165575,0.611245268440642,0.999999953144169
"Ppard:Nr2c2.W.Mbd2_-5|+|-",1336.175,0.0615715937362465,0.364290262235666,0.169017951120567,0.865782521583542,0.999999953144169
"Nr3c1.W.Zbtb7b_-2|+|-",348.30625,0.142463551064664,0.833957145261713,0.170828383537568,0.864358710277373,0.999999953144169
"Nr3c1.W.Nfic_-2|-|-",429.4625,-0.222086856582461,0.26465394552004,-0.839159439493959,0.401379844758268,0.999999953144169
"Nr3c1.W.NF1-halfsite(CTF)-LNCaP-NF1-ChIP-Seq(Unpublished)-Homer_-5|-|-",864.23125,0.108337903008739,0.48563699117215,0.223084124517061,0.823470033832663,0.999999953144169
"Nr3c1.W.Lef1:Tcf7l2_-4|+|+",1421.2875,0.0783124445928459,0.312588827415204,0.250528610508607,0.802178582003807,0.999999953144169
"Nfic.W.Tfe3_-5|-|+",424.83125,0.294133590142786,0.305054155118322,0.964201225283098,0.334945050204672,0.999999953144169
"Nfic.W.Tfe3_-5|+|+",339.175,0.20972357485894,0.408767449221247,0.513063296156506,0.607907045146357,0.999999953144169
"Nfic.W.Pbx2_-4|+|+",702.28125,0.548212442303818,0.390884119701315,1.40249351322515,0.160767926217959,0.999999953144169
"Nfe2l1.W.Zbtb7b_-1|-|-",1101.2375,-0.157726493184157,0.476723819101825,-0.330855071352051,0.740753960273447,0.999999953144169
"Nfe2l1.W.Zbtb33-halfSite_-1|-|-",1305.4,0.0726441392379145,0.222973050628333,0.325797844327846,0.744577309805518,0.999999953144169
"Nfe2l1.W.Zbtb33-halfSite_-1|+|+",486.0375,0.33058318243202,0.877979346276035,0.376527288294644,0.706524932441794,0.999999953144169
"Nfe2l1.W.Ybx1_-3|+|-",484.41875,0.310904186221554,0.583219492365762,0.533082639197135,0.593976376169332,0.999999953144169
"Nfe2l1.W.Sox4_-3|+|+",942.09375,0.0056199742476481,0.344869279600321,0.0162959549605615,0.986998284587887,0.999999953144169
"Nfe2l1.W.Runx1_-2|-|+",312.30625,0.131184021978603,0.40400341716517,0.324710179183881,0.745400429910122,0.999999953144169
"Nfe2l1.W.Nfic_-1|+|+",1571.44375,0.077746433526234,0.171632034649275,0.452983230578759,0.650560816855691,0.999999953144169
"Nfe2l1.W.Nfatc2_-2|+|-",1551.24375,0.319310849516367,0.403302089202857,0.791741124246338,0.428511638117472,0.999999953144169
